date,PM10,PM2.5,O3,NO2,CO,SO2
2022-05-24 0:00,45,27,0.041,0.007,0.2,0.002
2022-05-24 1:00,49,29,0.042,0.009,0.2,0.003
2022-05-24 2:00,42,30,0.038,0.01,0.2,0.003
2022-05-24 3:00,46,30,0.035,0.012,0.2,0.003
2022-05-24 4:00,46,36,0.03,0.014,0.3,0.002
2022-05-24 5:00,50,38,0.021,0.02,0.3,0.002
2022-05-24 6:00,51,32,0.004,0.041,0.3,0.002
2022-05-24 7:00,53,42,0.007,0.039,0.3,0.002
2022-05-24 8:00,49,41,0.016,0.031,0.3,0.003
2022-05-24 9:00,41,28,0.029,0.02,0.3,0.003
2022-05-24 10:00,46,19,0.033,0.02,0.3,0.002
2022-05-24 11:00,25,17,0.048,0.012,0.2,0.002
2022-05-24 12:00,33,13,0.056,0.012,0.2,0.002
2022-05-24 13:00,32,20,0.061,0.014,0.3,0.002
2022-05-24 14:00,35,18,0.069,0.01,0.2,0.002
2022-05-24 15:00,32,14,0.068,0.01,0.2,0.002
2022-05-24 16:00,35,15,0.062,0.012,0.2,0.002
2022-05-24 17:00,27,13,0.059,0.012,0.3,0.002
2022-05-24 18:00,27,12,0.049,0.016,0.2,0.002
2022-05-24 19:00,25,15,0.044,0.016,0.3,0.002
2022-05-24 20:00,23,12,0.039,0.018,0.3,0.002
2022-05-24 21:00,22,10,0.04,0.015,0.3,0.002
2022-05-24 22:00,26,8,0.037,0.017,0.3,0.002
2022-05-24 23:00,14,11,0.038,0.016,0.3,0.002
2022-05-25 0:00,18,13,0.034,0.019,0.3,0.002
2022-05-25 1:00,30,14,0.015,0.035,0.3,0.002
2022-05-25 2:00,30,16,0.012,0.036,0.4,0.002
2022-05-25 3:00,27,20,0.003,0.046,0.5,0.003
2022-05-25 4:00,39,27,0.003,0.042,0.3,0.002
2022-05-25 5:00,41,31,0.004,0.035,0.3,0.002
2022-05-25 6:00,33,33,0.004,0.032,0.3,0.002
2022-05-25 7:00,51,33,0.006,0.032,0.3,0.003
2022-05-25 8:00,55,39,0.007,0.037,0.4,0.003
2022-05-25 9:00,45,31,0.022,0.027,0.3,0.003
2022-05-25 10:00,30,25,0.033,0.021,0.3,0.003
2022-05-25 11:00,32,19,0.048,0.015,0.3,0.002
2022-05-25 12:00,25,19,0.053,0.012,0.2,0.002
2022-05-25 13:00,28,13,0.058,0.006,0.2,0.002
2022-05-25 14:00,21,15,0.06,0.006,0.2,0.002
2022-05-25 15:00,25,11,0.06,0.005,0.2,0.002
2022-05-25 16:00,16,7,0.054,0.006,0.2,0.002
2022-05-25 17:00,25,12,0.05,0.007,0.2,0.002
2022-05-25 18:00,29,16,0.045,0.01,0.2,0.002
2022-05-25 19:00,27,16,0.042,0.014,0.4,0.003
2022-05-25 20:00,29,19,0.039,0.013,0.3,0.002
2022-05-25 21:00,24,20,0.041,0.009,0.2,0.002
2022-05-25 22:00,23,17,0.038,0.01,0.2,0.002
2022-05-25 23:00,11,11,0.046,0.004,0.2,0.002
2022-05-26 0:00,13,12,0.045,0.004,0.3,0.002
2022-05-26 1:00,13,11,0.043,0.004,0.3,0.002
2022-05-26 2:00,14,10,0.04,0.004,0.3,0.002
2022-05-26 3:00,16,16,0.038,0.004,0.3,0.002
2022-05-26 4:00,9,,0.035,0.005,0.3,0.002
2022-05-26 5:00,20,9,0.024,0.014,0.3,0.002
2022-05-26 6:00,30,18,0.026,0.013,0.3,0.002
2022-05-26 7:00,32,19,0.024,0.02,0.3,0.002
2022-05-26 8:00,40,23,0.029,0.018,0.3,0.002
2022-05-26 9:00,38,17,0.032,0.014,0.3,0.002
2022-05-26 10:00,33,16,0.036,0.013,0.3,0.002
2022-05-26 11:00,23,10,0.038,0.009,0.3,0.002
2022-05-26 12:00,28,9,0.045,0.008,0.3,0.002
2022-05-26 13:00,,,,,,
2022-05-26 14:00,36,9,0.058,0.007,0.2,0.003
2022-05-26 15:00,33,5,0.057,0.008,0.2,0.004
2022-05-26 16:00,35,5,0.051,0.007,0.2,0.003
2022-05-26 17:00,38,6,0.05,0.007,0.2,0.003
2022-05-26 18:00,33,5,0.05,0.008,0.2,0.003
2022-05-26 19:00,27,8,0.05,0.008,0.2,0.003
2022-05-26 20:00,29,7,0.046,0.01,0.2,0.004
2022-05-26 21:00,24,10,0.041,0.014,0.3,0.003
2022-05-26 22:00,27,9,0.036,0.018,0.3,0.002
2022-05-26 23:00,25,8,0.036,0.018,0.3,0.002
2022-05-27 0:00,19,11,0.042,0.009,0.2,0.002
2022-05-27 1:00,24,7,0.041,0.01,0.2,0.002
2022-05-27 2:00,23,9,0.043,0.007,0.2,0.002
2022-05-27 3:00,26,11,0.049,0.004,0.2,0.002
2022-05-27 4:00,27,10,0.05,0.004,0.2,0.002
2022-05-27 5:00,37,17,0.049,0.004,0.3,0.002
2022-05-27 6:00,43,16,0.048,0.006,0.3,0.002
2022-05-27 7:00,41,16,0.046,0.01,0.3,0.002
2022-05-27 8:00,38,17,0.045,0.01,0.3,0.002
2022-05-27 9:00,35,16,0.046,0.009,0.3,0.002
2022-05-27 10:00,38,17,0.048,0.01,0.3,0.002
2022-05-27 11:00,31,13,0.05,0.009,0.3,0.002
2022-05-27 12:00,35,18,0.053,0.008,0.3,0.002
2022-05-27 13:00,32,17,0.055,0.008,0.3,0.002
2022-05-27 14:00,26,10,0.055,0.006,0.3,0.002
2022-05-27 15:00,30,16,0.054,0.006,0.3,0.002
2022-05-27 16:00,24,11,0.052,0.006,0.3,0.002
2022-05-27 17:00,21,13,0.051,0.007,0.3,0.002
2022-05-27 18:00,23,15,0.049,0.008,0.4,0.003
2022-05-27 19:00,18,14,0.047,0.01,0.3,0.003
2022-05-27 20:00,23,10,0.043,0.013,0.3,0.004
2022-05-27 21:00,17,9,0.041,0.015,0.4,0.003
2022-05-27 22:00,15,13,0.031,0.024,0.4,0.003
2022-05-27 23:00,26,15,0.021,0.035,0.4,0.002
2022-05-28 0:00,20,15,0.032,0.02,0.3,0.002
2022-05-28 1:00,23,15,0.028,0.021,0.3,0.002
2022-05-28 2:00,23,12,0.027,0.017,0.4,0.002
2022-05-28 3:00,30,18,0.019,0.019,0.4,0.002
2022-05-28 4:00,30,15,0.014,0.025,0.4,0.002
2022-05-28 5:00,33,19,0.004,0.042,0.4,0.002
2022-05-28 6:00,35,24,0.018,0.031,0.4,0.002
2022-05-28 7:00,48,25,0.028,0.029,0.4,0.002
2022-05-28 8:00,52,33,0.041,0.022,0.4,0.003
2022-05-28 9:00,46,32,0.049,0.017,0.4,0.003
2022-05-28 10:00,55,35,0.052,0.015,0.4,0.003
2022-05-28 11:00,63,33,0.06,0.012,0.4,0.003
2022-05-28 12:00,59,30,0.069,0.009,0.4,0.004
2022-05-28 13:00,53,26,0.078,0.006,0.4,0.003
2022-05-28 14:00,48,29,0.079,0.005,0.4,0.003
2022-05-28 15:00,50,29,0.078,0.005,0.4,0.002
2022-05-28 16:00,57,30,0.088,0.004,0.4,0.003
2022-05-28 17:00,51,32,0.085,0.004,0.4,0.003
2022-05-28 18:00,32,13,0.069,0.006,0.3,0.002
2022-05-28 19:00,23,11,0.062,0.005,0.3,0.002
2022-05-28 20:00,24,11,0.053,0.009,0.3,0.002
2022-05-28 21:00,29,14,0.042,0.018,0.3,0.002
2022-05-28 22:00,21,12,0.044,0.012,0.4,0.003
2022-05-28 23:00,15,12,0.05,0.01,0.6,0.004
2022-05-29 0:00,30,18,0.05,0.01,0.4,0.003
2022-05-29 1:00,37,19,0.05,0.006,0.5,0.003
2022-05-29 2:00,30,24,0.047,0.005,0.5,0.003
2022-05-29 3:00,36,26,0.044,0.006,0.6,0.004
2022-05-29 4:00,35,23,0.048,0.004,0.5,0.003
2022-05-29 5:00,29,22,0.049,0.003,0.3,0.002
2022-05-29 6:00,28,24,0.051,0.004,0.3,0.002
2022-05-29 7:00,31,23,0.05,0.006,0.3,0.002
2022-05-29 8:00,27,22,0.048,0.008,0.3,0.002
2022-05-29 9:00,30,27,0.055,0.005,0.3,0.002
2022-05-29 10:00,34,32,0.057,0.005,0.3,0.002
2022-05-29 11:00,36,30,0.062,0.005,0.4,0.002
2022-05-29 12:00,37,30,0.069,0.004,0.4,0.002
2022-05-29 13:00,36,25,0.076,0.004,0.3,0.002
2022-05-29 14:00,30,18,0.081,0.004,0.3,0.002
2022-05-29 15:00,25,23,0.076,0.004,0.3,0.002
2022-05-29 16:00,20,14,0.073,0.004,0.3,0.002
2022-05-29 17:00,27,17,0.075,0.004,0.3,0.002
2022-05-29 18:00,37,27,0.073,0.007,0.4,0.002
2022-05-29 19:00,37,25,0.067,0.01,0.4,0.002
2022-05-29 20:00,36,31,0.06,0.011,0.4,0.002
2022-05-29 21:00,33,29,0.062,0.008,0.4,0.003
2022-05-29 22:00,33,30,0.06,0.007,0.4,0.003
2022-05-29 23:00,34,21,0.056,0.007,0.4,0.003
2022-05-30 0:00,37,33,0.051,0.008,0.4,0.002
2022-05-30 1:00,29,24,0.054,0.006,0.3,0.002
2022-05-30 2:00,30,24,0.05,0.006,0.3,0.002
2022-05-30 3:00,33,26,0.051,0.006,0.4,0.003
2022-05-30 4:00,31,28,0.049,0.006,0.4,0.003
2022-05-30 5:00,31,27,0.045,0.008,0.4,0.002
2022-05-30 6:00,33,26,0.041,0.011,0.4,0.002
2022-05-30 7:00,31,31,0.031,0.023,0.4,0.002
2022-05-30 8:00,38,29,0.022,0.031,0.4,0.002
2022-05-30 9:00,38,29,0.02,0.03,0.4,0.002
2022-05-30 10:00,42,28,0.027,0.029,0.4,0.002
2022-05-30 11:00,52,35,0.036,0.025,0.4,0.002
2022-05-30 12:00,38,31,0.038,0.022,0.4,0.002
2022-05-30 13:00,54,32,0.042,0.026,0.4,0.002
2022-05-30 14:00,49,32,0.051,0.018,0.4,0.002
2022-05-30 15:00,32,25,0.05,0.01,0.3,0.002
2022-05-30 16:00,30,18,0.048,0.008,0.3,0.002
2022-05-30 17:00,21,15,0.046,0.009,0.2,0.002
2022-05-30 18:00,13,8,0.042,0.009,0.2,0.002
2022-05-30 19:00,10,7,0.042,0.007,0.2,0.002
2022-05-30 20:00,8,8,0.039,0.009,0.3,0.002
2022-05-30 21:00,15,14,0.035,0.01,0.3,0.002
2022-05-30 22:00,19,11,0.035,0.009,0.3,0.002
2022-05-30 23:00,14,8,0.036,0.008,0.3,0.002
2022-05-31 0:00,15,6,0.039,0.007,0.3,0.002
2022-05-31 1:00,17,8,0.036,0.008,0.3,0.002
2022-05-31 2:00,9,7,0.031,0.01,0.3,0.003
2022-05-31 3:00,17,12,0.016,0.022,0.3,0.002
2022-05-31 4:00,38,9,0.002,0.039,0.3,0.002
2022-05-31 5:00,18,12,0.007,0.028,0.3,0.002
2022-05-31 6:00,28,12,0.003,0.035,0.4,0.003
2022-05-31 7:00,29,17,0.005,0.034,0.4,0.003
2022-05-31 8:00,32,15,0.013,0.031,0.3,0.003
2022-05-31 9:00,31,16,0.02,0.027,0.3,0.003
2022-05-31 10:00,44,16,0.03,0.022,0.3,0.003
2022-05-31 11:00,34,11,0.04,0.014,0.3,0.003
2022-05-31 12:00,33,9,0.047,0.011,0.3,0.003
2022-05-31 13:00,31,10,0.056,0.008,0.3,0.003
2022-05-31 14:00,38,14,0.065,0.007,0.3,0.003
2022-05-31 15:00,35,14,0.065,0.008,0.3,0.003
2022-05-31 16:00,35,10,0.064,0.008,0.2,0.004
2022-05-31 17:00,28,6,0.053,0.008,0.2,0.003
2022-05-31 18:00,33,6,0.05,0.009,0.2,0.003
2022-05-31 19:00,27,4,0.048,0.012,0.2,0.003
2022-05-31 20:00,21,4,0.047,0.01,0.2,0.003
2022-05-31 21:00,27,3,0.033,0.022,0.3,0.002
2022-05-31 22:00,29,6,0.018,0.039,0.3,0.003
2022-05-31 23:00,34,8,0.014,0.041,0.3,0.003
2022-06-01 0:00,32,9,0.006,0.049,0.4,0.002
2022-06-01 1:00,36,13,0.002,0.053,0.4,0.002
2022-06-01 2:00,29,10,0.013,0.04,0.3,0.003
2022-06-01 3:00,20,8,0.027,0.022,0.3,0.003
2022-06-01 4:00,26,7,0.024,0.022,0.3,0.003
2022-06-01 5:00,30,8,0.038,0.011,0.3,0.003
2022-06-01 6:00,32,7,0.029,0.021,0.4,0.003
2022-06-01 7:00,37,13,0.018,0.033,0.4,0.003
2022-06-01 8:00,29,8,0.022,0.031,0.3,0.003
2022-06-01 9:00,33,13,0.036,0.021,0.3,0.003
2022-06-01 10:00,33,14,0.046,0.016,0.4,0.004
2022-06-01 11:00,33,8,0.05,0.013,0.3,0.003
2022-06-01 12:00,29,7,0.057,0.011,0.3,0.003
2022-06-01 13:00,27,10,0.063,0.006,0.3,0.003
2022-06-01 14:00,30,16,0.067,0.005,0.3,0.003
2022-06-01 15:00,19,4,0.065,0.004,0.2,0.003
2022-06-01 16:00,16,6,0.054,0.004,0.2,0.002
2022-06-01 17:00,11,6,0.054,0.006,0.2,0.002
2022-06-01 18:00,14,8,0.06,0.004,0.2,0.002
2022-06-01 19:00,16,9,0.059,0.006,0.2,0.002
2022-06-01 20:00,17,12,0.052,0.011,0.2,0.002
2022-06-01 21:00,24,7,0.048,0.012,0.3,0.002
2022-06-01 22:00,18,10,0.048,0.01,0.3,0.002
2022-06-01 23:00,16,9,0.049,0.008,0.2,0.002
2022-06-02 0:00,21,12,0.042,0.013,0.3,0.002
2022-06-02 1:00,26,14,0.023,0.029,0.3,0.002
2022-06-02 2:00,26,11,0.035,0.015,0.3,0.003
2022-06-02 3:00,35,17,0.041,0.008,0.3,0.003
2022-06-02 4:00,38,16,0.035,0.01,0.3,0.003
2022-06-02 5:00,29,22,0.03,0.013,0.3,0.003
2022-06-02 6:00,33,23,0.028,0.016,0.3,0.002
2022-06-02 7:00,31,19,0.019,0.026,0.3,0.002
2022-06-02 8:00,37,18,0.024,0.022,0.3,0.002
2022-06-02 9:00,32,28,0.035,0.014,0.3,0.003
2022-06-02 10:00,33,21,0.039,0.014,0.3,0.003
2022-06-02 11:00,34,25,0.047,0.012,0.3,0.003
2022-06-02 12:00,34,22,0.058,0.008,0.3,0.003
2022-06-02 13:00,45,28,0.08,0.008,0.3,0.005
2022-06-02 14:00,38,27,0.082,0.007,0.3,0.005
2022-06-02 15:00,37,20,0.08,0.007,0.3,0.004
2022-06-02 16:00,30,21,0.075,0.007,0.3,0.003
2022-06-02 17:00,30,15,0.067,0.007,0.3,0.003
2022-06-02 18:00,25,14,0.064,0.007,0.3,0.003
2022-06-02 19:00,23,17,0.059,0.008,0.3,0.003
2022-06-02 20:00,24,15,0.054,0.009,0.3,0.003
2022-06-02 21:00,22,15,0.046,0.012,0.3,0.002
2022-06-02 22:00,23,17,0.045,0.009,0.3,0.002
2022-06-02 23:00,20,17,0.048,0.007,0.3,0.002
2022-06-03 0:00,17,15,0.05,0.004,0.3,0.002
2022-06-03 1:00,27,23,0.041,0.01,0.3,0.002
2022-06-03 2:00,26,22,0.045,0.007,0.3,0.002
2022-06-03 3:00,29,27,0.052,0.005,0.3,0.002
2022-06-03 4:00,41,25,0.055,0.004,0.3,0.002
2022-06-03 5:00,40,26,0.06,0.003,0.3,0.002
2022-06-03 6:00,28,19,0.051,0.007,0.3,0.002
2022-06-03 7:00,43,30,0.045,0.014,0.3,0.002
2022-06-03 8:00,48,32,0.053,0.011,0.3,0.002
2022-06-03 9:00,46,28,0.054,0.011,0.4,0.002
2022-06-03 10:00,42,31,0.054,0.012,0.4,0.002
2022-06-03 11:00,44,31,0.063,0.012,0.4,0.002
2022-06-03 12:00,47,26,0.074,0.011,0.4,0.002
2022-06-03 13:00,43,28,0.082,0.011,0.4,0.002
2022-06-03 14:00,51,29,0.095,0.011,0.3,0.002
2022-06-03 15:00,55,29,0.107,0.012,0.4,0.003
2022-06-03 16:00,71,46,0.117,0.013,0.5,0.003
2022-06-03 17:00,85,,0.11,0.014,0.6,0.004
2022-06-03 18:00,79,44,0.1,0.015,0.5,0.004
2022-06-03 19:00,60,41,0.08,0.017,0.5,0.004
2022-06-03 20:00,43,24,0.051,0.024,0.4,0.003
2022-06-03 21:00,41,21,0.03,0.033,0.5,0.003
2022-06-03 22:00,38,21,0.018,0.039,0.4,0.003
2022-06-03 23:00,39,20,0.008,0.047,0.4,0.003
2022-06-04 0:00,29,20,0.009,0.037,0.4,0.002
2022-06-04 1:00,28,18,0.02,0.018,0.4,0.002
2022-06-04 2:00,28,21,0.012,0.028,0.4,0.003
2022-06-04 3:00,31,23,0.012,0.026,0.4,0.003
2022-06-04 4:00,30,25,0.022,0.014,0.3,0.002
2022-06-04 5:00,37,33,0.025,0.011,0.4,0.002
2022-06-04 6:00,43,28,0.021,0.014,0.4,0.002
2022-06-04 7:00,37,31,0.021,0.015,0.4,0.002
2022-06-04 8:00,32,27,0.031,0.016,0.4,0.002
2022-06-04 9:00,33,19,0.045,0.011,0.3,0.002
2022-06-04 10:00,35,17,0.05,0.011,0.3,0.002
2022-06-04 11:00,39,18,0.053,0.013,0.3,0.002
2022-06-04 12:00,41,19,0.06,0.012,0.3,0.002
2022-06-04 13:00,48,26,0.068,0.01,0.3,0.002
2022-06-04 14:00,48,28,0.074,0.01,0.3,0.002
2022-06-04 15:00,50,31,0.078,0.011,0.3,0.002
2022-06-04 16:00,53,26,0.081,0.009,0.3,0.002
2022-06-04 17:00,58,26,0.077,0.009,0.3,0.002
2022-06-04 18:00,56,28,0.075,0.009,0.3,0.002
2022-06-04 19:00,58,25,0.072,0.01,0.3,0.002
2022-06-04 20:00,57,30,0.068,0.012,0.4,0.002
2022-06-04 21:00,50,28,0.056,0.015,0.4,0.002
